74,62,451.54,57.63,20.00,20.00,1,-1,-1,-1
74,64,732.95,345.38,20.00,20.00,1,-1,-1,-1
74,67,121.27,335.89,20.00,20.00,1,-1,-1,-1
75,59,460.12,664.07,20.00,20.00,1,-1,-1,-1
75,62,451.70,51.51,20.00,20.00,1,-1,-1,-1
75,67,131.31,335.90,20.00,20.00,1,-1,-1,-1
76,59,460.11,654.40,20.00,20.00,1,-1,-1,-1
76,67,141.38,335.91,20.00,20.00,1,-1,-1,-1
77,59,460.10,645.15,20.00,20.00,1,-1,-1,-1
77,67,150.79,335.92,20.00,20.00,1,-1,-1,-1
78,59,460.08,636.05,20.00,20.00,1,-1,-1,-1
78,67,159.94,335.93,20.00,20.00,1,-1,-1,-1
79,59,459.41,627.68,20.00,20.00,1,-1,-1,-1
79,67,169.00,336.60,20.00,20.00,1,-1,-1,-1
80,59,459.15,619.57,20.00,20.00,1,-1,-1,-1
80,67,177.36,336.86,20.00,20.00,1,-1,-1,-1
80,74,332.00,784.04,20.00,20.00,1,-1,-1,-1
81,59,458.39,610.91,20.00,20.00,1,-1,-1,-1
81,67,184.79,336.96,20.00,20.00,1,-1,-1,-1
81,74,332.00,771.37,20.00,20.00,1,-1,-1,-1
82,59,458.11,604.01,20.00,20.00,1,-1,-1,-1
82,67,191.88,337.65,20.00,20.00,1,-1,-1,-1
82,74,332.74,756.53,20.00,20.00,1,-1,-1,-1
83,59,458.00,598.44,20.00,20.00,1,-1,-1,-1
83,67,198.18,337.92,20.00,20.00,1,-1,-1,-1
83,74,332.98,739.80,20.00,20.00,1,-1,-1,-1
84,59,457.31,591.38,20.00,20.00,1,-1,-1,-1
84,67,204.86,338.67,20.00,20.00,1,-1,-1,-1
84,74,333.20,728.49,20.00,20.00,1,-1,-1,-1
84,88,644.59,468.20,20.00,20.00,1,-1,-1,-1
85,59,457.05,585.73,20.00,20.00,1,-1,-1,-1
85,67,210.36,338.95,20.00,20.00,1,-1,-1,-1
85,88,651.13,467.93,20.00,20.00,1,-1,-1,-1
86,59,456.30,579.94,20.00,20.00,1,-1,-1,-1
86,67,216.10,339.71,20.00,20.00,1,-1,-1,-1
86,88,658.17,467.13,20.00,20.00,1,-1,-1,-1
86,95,329.02,138.77,20.00,20.00,1,-1,-1,-1
87,59,455.36,574.08,20.00,20.00,1,-1,-1,-1
87,67,221.92,339.99,20.00,20.00,1,-1,-1,-1
87,88,661.72,466.17,20.00,20.00,1,-1,-1,-1
87,95,329.05,134.52,20.00,20.00,1,-1,-1,-1
88,59,455.01,568.86,20.00,20.00,1,-1,-1,-1
88,67,226.48,340.75,20.00,20.00,1,-1,-1,-1
88,88,666.90,465.86,20.00,20.00,1,-1,-1,-1
88,95,329.05,130.36,20.00,20.00,1,-1,-1,-1
88,98,268.80,329.96,20.00,20.00,1,-1,-1,-1
88,99,464.82,526.40,20.00,20.00,1,-1,-1,-1
89,59,454.90,564.53,20.00,20.00,1,-1,-1,-1
89,67,231.22,341.02,20.00,20.00,1,-1,-1,-1
89,88,669.89,465.09,20.00,20.00,1,-1,-1,-1
89,95,329.76,126.26,20.00,20.00,1,-1,-1,-1
